"343","8","Adını Yunan mitolojisindeki İlham perisinden alan yer neresidir?","2012-12-07 13:33:55","Galeri","Atölye","Tiyatro","Müze","D","13"
"344","1","Hangisi bir kişinin uzun süreden beri etrafta görünmediğini ifade eder?","2012-12-10 13:27:18","Kalb kalbe karsi","Yuzunu goren cennetlik","Rüzgar gibi geçti","Dünya dönüyor","B","13"
"345","2","Hangisi halk arasında dayının eşi çocukları e kardeşleri anlamındadır?","2012-12-10 13:27:31","Dayılarım","Dayımgiller","Dayımınkiler","Dayım","B","13"
"346","3","El sıkışırken yapılmaya devam eden pazarlıklar hangi hayvanın adıyla anılır?","2012-12-10 13:28:03","Keci","Deve","Koyun","Boga","C","13"
"347","1","Misafirin kullanması için özel olarak evde bulunan eşya nedir?","2012-12-10 13:31:28","Misafir Hirkasi","Misafir Sali","Misafir Mendili","Misafir Terligi","D","13"
"349","2","Hangisi hayal gücü anlamındadır?","2012-12-10 13:32:20","Muasara","Muhayale","Münazara","Mütalaa","B","13"
"350","3","Reçeli ve şerbeti yapılan buruk tatlı kırmızı meyv nerdir?","2012-12-10 13:33:27","Hünnap","Çağla","Kızılcık","İğde","C","13"
"351","4","Dinlediğiniz şarkıyı kim seslendirmektedir?","2012-12-10 13:33:31","Cem Karaca","Ekin Koray","Alpay","Ilhan Irem","A","13"
"352","5","TEM otoyolu ifadesindeki T ne demektir?","2012-12-10 13:33:57","Trafik","Turkiye","Transit","Tarihi","C","13"
"353","6","Lostra salonundaki lostra ne demektir?","2012-12-10 13:34:41","Ayakkabi Dikme","Ayakkabi Boyama","Ayakkabi Tamir","Ayakkabi Ismarlama","B","13"
"354","1","Bir konuda geç kalındığı ifade edilirken nerede sabah oldu denilir?","2012-12-10 13:40:28","Uskudar","Kalamis","Heybeli","Camlica","A","13"
"355","2","Göbekli erkeklerin göbeği genellikle neye benzetilir?","2012-12-10 13:40:58","Ayva","Karpuz","Balkon","Cumba","C","13"
"356","3","Üzerinde zıplanarak akrobatik hareketler yapılan yaylı jimnastik aracı nedir?","2012-12-10 13:42:02","Parasaling","Barfiks","Trambolin","Kulplu Beygir","C","13"
"357","4","Şekerin karamelize edilmesiyle elde edilen pekmez görünümlü ekşi salata sosu hangi meyveden yapılır?","2012-12-10 13:44:37","Portakal","Nar","Hurma","Seftali","B","13"
"358","5","TV'de dinlediğiniz şarkıyı kim seslendirmektedir?","2012-12-10 13:45:33","Muzeyyen Senar","Safiye Ayla","Behiye Aksoy","Muazzez Ersoy","A","13"
"359","6","Örümceklerin kaç bacağı vardır?","2012-12-10 13:45:55","6","8","10","12","B","13"
"360","1","Aileler küçük çocukları bir beden büyük almaya ne diyerek ikna ederler?","2012-12-10 13:50:08","Dokumlu Durur","Zayiflayinca giyersin","Kaliplari dar","Buyuyunce giyersin","D","13"
"361","2","Hangisi otogar demektir?","2012-12-10 13:50:30","Mintika","Garaj","Tayyare","Sayfiye","B","13"
"362","3","Koyu pembe renkli turşusu olan salataya da konan  sebze nedir?","2012-12-10 13:51:39","Pancar","Lahana","Havuc","Turp","A","13"
"363","4","Tropikal bölgelerde yaşayan sırtı dikenli genelde sabit duran kertenkele türü nedir?","2012-12-10 13:52:24","Koala","Semender","Iguana","Armadilio","C","13"
"364","5","Bir masa üzerinde bulunan futbolcu maketlerini hareket ettirerek oynanan oyun hangisidir?","2012-12-10 13:53:06","Go","Domino","Langirt","Tilt","C","13"
"365","6","Müzik yelpazasini suran efsane sunucu kimdir?","2012-12-10 13:53:49","Orhan Boran","Halit Kivanc","Izzet Oz","Sezen Cumhur Onal","D","13"
"366","1","Hangisi özellikle Türk filmlerinde anne için yapılan bir benzetmedir?","2012-12-10 14:05:42","Kralice","Melek","Sihirbaz","Denizkizi","B","13"
"367","2","Halk arasında nazar büyü gibi durumları önlemek için genellikle hangisi yapılır?","2012-12-10 14:06:59","Ayna kirmak","Tutsu yakmak","Kina yakmak","Kursun Dokturmek","D","13"
"368","3","Hangisi bir tür zeytin cinsidir?","2012-12-10 14:07:34","Sele","Sepet","Kup","Sandik","A","13"
"369","4","Buzlanma veya karlanma yapmayan dondurma kapasitesi yüksek buzdolaplarına ne denir?","2012-12-10 14:08:07","Fiber optik","Hibrit","No frost","Ankastre","C","13"
"370","5","Deniz kıyılarında yetişen özellikle balık lokantalarında salatası satılan deniz bitkisi nedir?","2012-12-10 14:08:47","Borulce","Kuskus","Bakla","Marul","A","13"
"371","6","Soğuğa dayanaklı renkli çiçekler açan güzel kokulu bitki nedir?","2012-12-10 14:09:23","Ortanca","Lale","Hanimeli","Leylak","D","13"
"372","7","TV'de dinlediğiniz One Way ticket şarkısını hangi grup seslendirmektedir?","2012-12-10 14:12:23","U2","Bee Gees","ABBA","Boney M","D","13"
"373","8","Alfred Hitchcock hangi filmi için uyarladığı kitabı çok sayıda satın alıp sonunu öğrenilmesini engellemek istemiştir?","2012-12-10 14:13:58","Sapik","Halka","Kuslar","Arka Pencere","A","13"
"374","9","Mezar taşında gökyüzünü ölçerdim şimdi dünyanın gölgelerini ölçeceğim yazan bilim adamı kimdir?","2012-12-10 14:17:12","Kepler","Kopernik","Galileo","Newton","A","13"
"375","7","TV'de dinlediğiniz 'Katip arzuhalim yaz yare böyle' türküsünün sözleri kime aittir?","2012-12-14 13:28:02","Arif Sağ","Pir Sultan Abdal","Karacaoğlan","Dadaloğlu","B","14"
"376","1","Fellik fellik aramak ne demektir?","2012-12-14 13:32:08","Hırsla Aramak","Telaşla Aramak","Dikkatlice Aramak","Sabırla Aramak","B","14"
"377","2","Nerelisin sorusundan hemen sonra hangisini sormak adettendir?","2012-12-14 13:33:37","Kıyısından mı?","İçinden mi?","Sahibinden mi?","Kıyısından mı?","B","14"
